idx1,idx2,distance,cluster_id,cell_id_1,cell_id_2,area_1,area_2,perimeter_1,perimeter_2,roundness_1,roundness_2,eccentricity_1,eccentricity_2,solidity_1,solidity_2,major_axis_length_1,major_axis_length_2,minor_axis_length_1,minor_axis_length_2,residual_px
669,451,0.2324852330069793,0,670,452,531.0,542.0,85.35533905932738,85.84062043356595,0.915889333901938,0.9243223507186278,0.4906861105940008,0.4962244657487156,0.9654545454545455,0.9609929078014184,28.032479691022377,28.250747045022848,24.425720241155464,24.52713653088074,3.132985262846803
1218,876,0.3959756187325856,0,1219,877,443.0,461.0,77.94112549695427,80.18376618407356,0.9163897956606736,0.9010271708645032,0.5360871544485768,0.49736159638128163,0.9506437768240343,0.948559670781893,25.97751409036159,26.251958055682934,21.92924687613324,22.77471130760412,1.089905447375585
971,700,0.5764613989219399,0,972,701,305.0,319.0,66.04163056034261,68.62741699796952,0.8787677869131733,0.8511483090342891,0.7487821952089287,0.7255668451665556,0.9591194968553459,0.9696048632218845,24.42957000783522,24.839702370543616,16.192313086091755,17.0934832510285,1.766290306542677
761,515,0.7046955402435235,0,762,516,588.0,614.0,101.7401153701776,102.5685424949238,0.7138430549054,0.7334151329406584,0.7178800617181625,0.7341113543616024,0.8763040238450075,0.8924418604651163,34.74159854184497,35.43735155902642,24.185947572722156,24.062992955094618,4.546167079895911
965,693,0.44723639601027526,1,966,694,502.0,550.0,83.11269837220809,87.11269837220809,0.9132271534496383,0.9107718950336524,0.7013116591550509,0.7251422359376597,0.9709864603481625,0.9734513274336283,30.002136361384782,31.995081449751208,21.38716672292141,22.031784688887665,1.3586710382670864
568,391,0.5046914127766721,1,569,392,573.0,624.0,94.42640687119284,97.74011537017762,0.8075651290298226,0.8208215671850748,0.6890084493392136,0.6818951080784484,0.9455445544554455,0.9526717557251908,32.574354337298146,33.55565219777971,23.608371045790726,24.54428086142247,3.564432149006497
1091,795,0.552950643279662,1,1092,796,183.0,206.0,51.8700576850888,55.4558441227157,0.8547271351708582,0.8417486795457714,0.7969194040551376,0.8263910996189255,0.9432989690721649,0.9363636363636364,19.76018263114234,21.684235546598266,11.936842620091058,12.210318723379894,8.748631002044892
1007,744,0.5605047009659181,1,1008,745,362.0,396.0,77.59797974644667,81.11269837220809,0.7554706650744789,0.7563579069418889,0.8437549641533714,0.8539473916762833,0.9164556962025316,0.9209302325581395,30.221733170852666,31.72805012187133,16.220867701259035,16.50998751126008,20.955220833280702
672,453,0.5712484517712711,1,673,454,357.0,410.0,68.18376618407356,73.35533905932738,0.9649751017240266,0.957481216994677,0.5223019604187494,0.5524586256550643,0.9727520435967303,0.9692671394799054,23.119982712153934,25.078188765415877,19.715810617404145,20.90368151673028,3.5980107579838703
909,644,0.5870762055650427,1,910,645,180.0,154.0,48.87005768508881,44.62741699796952,0.9471018082904711,0.971688545099036,0.6348781953263113,0.6755187970733579,0.9523809523809523,0.9565217391304348,17.32969334986645,16.314749588478364,13.389133239064497,12.02956259068877,3.9709719948108737
1160,838,0.17916620253705517,2,1161,839,236.0,226.0,55.4558441227157,54.52691193458118,0.9643334387029225,0.9552048037822236,0.6227255878127623,0.6143217373041648,0.963265306122449,0.9617021276595744,19.661535338105942,19.127332253630723,15.383977849882346,15.092529393605826,1.5432723391416354
826,576,0.25803870529950995,2,827,577,323.0,317.0,68.04163056034261,66.87005768508881,0.876724132933217,0.8908523512031707,0.7335389198134246,0.7386802284592645,0.9528023598820059,0.9491017964071856,24.72689429864368,24.5558536586418,16.80557059878098,16.552021021005633,3.929276355701271
1114,811,0.3216211410517832,2,1115,812,659.0,618.0,93.84062043356596,91.35533905932738,0.9404019860512071,0.9305301977435677,0.4374053688077189,0.43150479410690534,0.9748520710059172,0.9732283464566929,30.707462121706484,29.759510140457472,27.614128904379868,26.84637083557717,1.1158130256937375
